World Cup 2026 Match Odds - VERIFIED FROM ODDSPEDIA (Decimal Format: Home | Draw | Away)

MATCHDAY 1:
Mexico vs South Africa: 1.55 | 4.30 | 7.00
South Korea vs Czech Republic: 2.75 | 3.33 | 2.83
Canada vs Bosnia and Herzegovina: 1.83 | 4.00 | 4.80
USA vs Paraguay: 2.06 | 3.60 | 3.90
Qatar vs Switzerland: 12.00 | 6.00 | 1.33
Brazil vs Morocco: 1.65 | 4.10 | 6.20
Haiti vs Scotland: 8.00 | 5.00 | 1.48
Australia vs Turkey: 5.00 | 3.80 | 1.86
Germany vs Curaçao: 1.04 | 22.00 | 51.00
Ivory Coast vs Ecuador: 3.71 | 3.20 | 2.41
Netherlands vs Japan: 2.08 | 3.76 | 3.88
Sweden vs Tunisia: 2.00 | 3.54 | 4.30
Belgium vs Egypt: 1.73 | 4.10 | 5.20
Iran vs New Zealand: 1.88 | 3.75 | 4.90
Spain vs Cape Verde: 1.11 | 11.00 | 33.00
Saudi Arabia vs Uruguay: 7.00 | 4.40 | 1.54
France vs Senegal: 1.48 | 4.70 | 7.60
Iraq vs Norway: 14.25 | 6.50 | 1.28
Argentina vs Algeria: 1.43 | 4.75 | 9.50
Austria vs Jordan: 1.37 | 5.50 | 9.50
Portugal vs DR Congo: 1.29 | 6.00 | 12.50
Uzbekistan vs Colombia: 8.40 | 4.80 | 1.47
England vs Croatia: 1.73 | 4.00 | 5.25
Ghana vs Panama: 2.01 | 4.00 | 4.35

MATCHDAY 2:
Czech Republic vs South Africa: 2.10 | 3.50 | 4.15
Mexico vs South Korea: 1.96 | 3.70 | 4.75
Switzerland vs Bosnia and Herzegovina: 1.58 | 4.30 | 6.75
Canada vs Qatar: 1.53 | 4.50 | 7.50
Scotland vs Morocco: 3.76 | 3.32 | 2.17
Brazil vs Haiti: 1.07 | 17.00 | 51.00
USA vs Australia: 1.77 | 4.05 | 5.00
Turkey vs Paraguay: 2.30 | 3.28 | 3.50
Germany vs Ivory Coast: 1.61 | 4.35 | 6.00
Ecuador vs Curaçao: 1.27 | 6.25 | 14.00
Netherlands vs Sweden: 1.72 | 4.15 | 5.65
Tunisia vs Japan: 4.80 | 3.44 | 1.94
Belgium vs Iran: 1.45 | 4.70 | 8.25
New Zealand vs Egypt: 5.25 | 3.90 | 1.75
Spain vs Saudi Arabia: 1.13 | 9.00 | 36.00
Uruguay vs Cape Verde: 1.48 | 4.55 | 7.75
France vs Iraq: 1.15 | 8.60 | 26.00
Norway vs Senegal: 2.15 | 3.68 | 3.70
Argentina vs Austria: 1.74 | 3.80 | 5.50
Jordan vs Algeria: 5.25 | 3.82 | 1.77
Portugal vs Uzbekistan: 1.26 | 7.00 | 17.00
Colombia vs DR Congo: 1.55 | 4.25 | 7.75
England vs Ghana: 1.35 | 5.40 | 10.50
Panama vs Croatia: 7.80 | 4.30 | 1.56

MATCHDAY 3:
Czech Republic vs Mexico: 4.20 | 3.65 | 2.12
South Africa vs South Korea: 3.95 | 3.40 | 2.47
Bosnia and Herzegovina vs Qatar: 1.95 | 3.60 | 4.25
Switzerland vs Canada: 2.12 | 3.70 | 3.70
Morocco vs Haiti: 1.31 | 5.80 | 11.00
Scotland vs Brazil: 9.00 | 5.33 | 1.40
Paraguay vs Australia: 2.36 | 3.55 | 4.20
Turkey vs USA: 3.05 | 3.50 | 2.54
Curaçao vs Ivory Coast: 12.20 | 6.00 | 1.29
Ecuador vs Germany: 5.80 | 4.20 | 1.62
Japan vs Sweden: 2.30 | 3.45 | 3.25
Tunisia vs Netherlands: 7.95 | 4.70 | 1.53
Egypt vs Iran: 2.53 | 3.31 | 3.40
New Zealand vs Belgium: 15.00 | 7.20 | 1.22
Cape Verde vs Saudi Arabia: 3.80 | 3.52 | 2.27
Uruguay vs Spain: 7.33 | 4.71 | 1.67
Norway vs France: 6.21 | 4.57 | 1.70
Senegal vs Iraq: 1.56 | 5.96 | 13.90
Algeria vs Austria: 3.10 | 3.30 | 2.44
Jordan vs Argentina: 21.00 | 8.60 | 1.16
Colombia vs Portugal: 3.44 | 3.60 | 2.24
DR Congo vs Uzbekistan: 2.47 | 3.36 | 3.45
Croatia vs Ghana: 1.97 | 3.71 | 4.30
Panama vs England: 21.00 | 8.60 | 1.17
